ctime,datname,pid,usesysid,usename,application_name,client_addr,client_port,backend_start,xact_start,query_start,waiting,query,state,state_change
1416265915.64856,dbt3,7028,10,mark,psql,,-1,2014-11-18 00:11:55.645346+01,2014-11-18 00:11:55.647067+01,2014-11-18 00:11:55.647067+01,f,COPY customer FROM '/AXLE/mark/dbt3/dss/customer.tbl' USING DELIMITERS '|';,active,2014-11-18 00:11:55.647071+01
1416265915.64856,dbt3,7025,10,mark,psql,,-1,2014-11-18 00:11:55.644171+01,2014-11-18 00:11:55.645872+01,2014-11-18 00:11:55.645872+01,f,COPY partsupp FROM '/AXLE/mark/dbt3/dss/partsupp.tbl' USING DELIMITERS '|';,active,2014-11-18 00:11:55.645876+01
1416265915.64856,dbt3,7026,10,mark,psql,,-1,2014-11-18 00:11:55.644301+01,2014-11-18 00:11:55.645908+01,2014-11-18 00:11:55.645908+01,f,COPY part FROM '/AXLE/mark/dbt3/dss/part.tbl' USING DELIMITERS '|';,active,2014-11-18 00:11:55.645913+01
1416265915.64856,dbt3,7024,10,mark,psql,,-1,2014-11-18 00:11:55.64409+01,2014-11-18 00:11:55.646603+01,2014-11-18 00:11:55.646603+01,f,COPY supplier FROM '/AXLE/mark/dbt3/dss/supplier.tbl' USING DELIMITERS '|';,active,2014-11-18 00:11:55.646608+01
1416265915.64856,dbt3,7027,10,mark,psql,,-1,2014-11-18 00:11:55.644524+01,2014-11-18 00:11:55.646108+01,2014-11-18 00:11:55.646108+01,f,COPY orders FROM '/AXLE/mark/dbt3/dss/orders.tbl' USING DELIMITERS '|';,active,2014-11-18 00:11:55.646112+01
1416265915.64856,dbt3,7033,10,mark,psql,,-1,2014-11-18 00:11:55.64588+01,2014-11-18 00:11:55.647526+01,2014-11-18 00:11:55.647526+01,f,COPY lineitem FROM '/AXLE/mark/dbt3/dss/lineitem.tbl' USING DELIMITERS '|';,active,2014-11-18 00:11:55.64753+01
1416265915.64856,dbt3,7035,10,mark,psql,,-1,2014-11-18 00:11:55.646032+01,2014-11-18 00:11:55.647809+01,2014-11-18 00:11:55.647809+01,f,COPY nation FROM '/AXLE/mark/dbt3/dss/nation.tbl' USING DELIMITERS '|';,active,2014-11-18 00:11:55.647814+01
1416265915.64856,dbt3,7038,10,mark,psql,,-1,2014-11-18 00:11:55.647041+01,2014-11-18 00:11:55.648558+01,2014-11-18 00:11:55.648558+01,f,"COPY (SELECT EXTRACT(EPOCH FROM TRANSACTION_TIMESTAMP()) AS ctime, datname, pid, usesysid, usename, application_name, client_addr, client_port, backend_start, xact_start, query_start, waiting, query , state, state_change FROM pg_stat_activity) TO STDOUT (FORMAT CSV, HEADER);",active,2014-11-18 00:11:55.648562+01
1416265915.64856,dbt3,7039,10,mark,psql,,-1,2014-11-18 00:11:55.647135+01,2014-11-18 00:11:55.648635+01,2014-11-18 00:11:55.648635+01,f,"COPY (SELECT EXTRACT(EPOCH FROM TRANSACTION_TIMESTAMP()) AS ctime, relname, pid, mode, granted FROM pg_locks, pg_class WHERE relfilenode = relation ORDER BY relname) TO STDOUT (FORMAT CSV, HEADER);",active,2014-11-18 00:11:55.648639+01
1416265915.64856,dbt3,7040,10,mark,psql,,-1,2014-11-18 00:11:55.6474+01,2014-11-18 00:11:55.649716+01,2014-11-18 00:11:55.649716+01,f,"COPY (SELECT EXTRACT(EPOCH FROM TRANSACTION_TIMESTAMP()) AS ctime, a.schemaname, a.relname, seq_scan, seq_tup_read, idx_scan, idx_tup_fetch, n_tup_ins, n_tup_upd, n_tup_del, n_tup_hot_upd, n_live_tup, n_dead_tup, heap_blks_read, heap_blks_hit, idx_blks_read, idx_blks_hit, toast_blks_read, toast_blks_hit, tidx_blks_read, tidx_blks_hit FROM pg_statio_all_tables a, pg_stat_all_tables b WHERE a.relid = b.relid) TO STDOUT (FORMAT CSV, HEADER);",active,2014-11-18 00:11:55.649723+01
1416265915.64856,dbt3,7041,10,mark,psql,,-1,2014-11-18 00:11:55.647502+01,2014-11-18 00:11:55.649626+01,2014-11-18 00:11:55.649626+01,f,"COPY (SELECT EXTRACT(EPOCH FROM TRANSACTION_TIMESTAMP()) AS ctime, datname, numbackends, xact_commit, xact_rollback, blks_read, blks_hit, tup_returned, tup_fetched, tup_inserted, tup_updated, tup_deleted FROM pg_stat_database) TO STDOUT (FORMAT CSV, HEADER);",active,2014-11-18 00:11:55.649631+01
1416265915.64856,dbt3,7042,10,mark,psql,,-1,2014-11-18 00:11:55.647584+01,2014-11-18 00:11:55.650488+01,2014-11-18 00:11:55.650488+01,f,"COPY (SELECT EXTRACT(EPOCH FROM TRANSACTION_TIMESTAMP()) AS ctime, a.schemaname, a.relname, a.indexrelname, idx_scan, idx_tup_read, idx_tup_fetch, idx_blks_read, idx_blks_hit FROM pg_stat_all_indexes a, pg_statio_all_indexes b WHERE a.indexrelid = b.indexrelid) TO STDOUT (FORMAT CSV, HEADER);",active,2014-11-18 00:11:55.650493+01
1416265941.05775,dbt3,7083,10,mark,psql,,-1,2014-11-18 00:12:18.557135+01,2014-11-18 00:12:18.559141+01,2014-11-18 00:12:18.559141+01,f,ANALYZE part;,active,2014-11-18 00:12:18.559146+01
1416265941.05775,dbt3,7025,10,mark,psql,,-1,2014-11-18 00:11:55.644171+01,2014-11-18 00:11:55.645872+01,2014-11-18 00:11:55.645872+01,f,COPY partsupp FROM '/AXLE/mark/dbt3/dss/partsupp.tbl' USING DELIMITERS '|';,active,2014-11-18 00:11:55.645876+01
1416265941.05775,dbt3,7092,10,mark,psql,,-1,2014-11-18 00:12:21.055924+01,2014-11-18 00:12:21.057746+01,2014-11-18 00:12:21.057746+01,f,"COPY (SELECT EXTRACT(EPOCH FROM TRANSACTION_TIMESTAMP()) AS ctime, datname, pid, usesysid, usename, application_name, client_addr, client_port, backend_start, xact_start, query_start, waiting, query , state, state_change FROM pg_stat_activity) TO STDOUT (FORMAT CSV);",active,2014-11-18 00:12:21.057751+01
1416265941.05775,dbt3,7027,10,mark,psql,,-1,2014-11-18 00:11:55.644524+01,2014-11-18 00:11:55.646108+01,2014-11-18 00:11:55.646108+01,f,COPY orders FROM '/AXLE/mark/dbt3/dss/orders.tbl' USING DELIMITERS '|';,active,2014-11-18 00:11:55.646112+01
1416265941.05775,dbt3,7033,10,mark,psql,,-1,2014-11-18 00:11:55.64588+01,2014-11-18 00:11:55.647526+01,2014-11-18 00:11:55.647526+01,f,COPY lineitem FROM '/AXLE/mark/dbt3/dss/lineitem.tbl' USING DELIMITERS '|';,active,2014-11-18 00:11:55.64753+01
1416265941.05775,dbt3,7090,10,mark,psql,,-1,2014-11-18 00:12:21.055759+01,2014-11-18 00:12:21.057804+01,2014-11-18 00:12:21.057804+01,f,"COPY (SELECT EXTRACT(EPOCH FROM TRANSACTION_TIMESTAMP()) AS ctime, datname, numbackends, xact_commit, xact_rollback, blks_read, blks_hit, tup_returned, tup_fetched, tup_inserted, tup_updated, tup_deleted FROM pg_stat_database) TO STDOUT (FORMAT CSV);",active,2014-11-18 00:12:21.057809+01
1416265941.05775,dbt3,7093,10,mark,psql,,-1,2014-11-18 00:12:21.056023+01,2014-11-18 00:12:21.057746+01,2014-11-18 00:12:21.057746+01,f,"COPY (SELECT EXTRACT(EPOCH FROM TRANSACTION_TIMESTAMP()) AS ctime, a.schemaname, a.relname, seq_scan, seq_tup_read, idx_scan, idx_tup_fetch, n_tup_ins, n_tup_upd, n_tup_del, n_tup_hot_upd, n_live_tup, n_dead_tup, heap_blks_read, heap_blks_hit, idx_blks_read, idx_blks_hit, toast_blks_read, toast_blks_hit, tidx_blks_read, tidx_blks_hit FROM pg_statio_all_tables a, pg_stat_all_tables b WHERE a.relid = b.relid) TO STDOUT (FORMAT CSV);",active,2014-11-18 00:12:21.057751+01
1416265941.05775,dbt3,7094,10,mark,psql,,-1,2014-11-18 00:12:21.056101+01,2014-11-18 00:12:21.057758+01,2014-11-18 00:12:21.057758+01,f,"COPY (SELECT EXTRACT(EPOCH FROM TRANSACTION_TIMESTAMP()) AS ctime, a.schemaname, a.relname, a.indexrelname, idx_scan, idx_tup_read, idx_tup_fetch, idx_blks_read, idx_blks_hit FROM pg_stat_all_indexes a, pg_statio_all_indexes b WHERE a.indexrelid = b.indexrelid) TO STDOUT (FORMAT CSV);",active,2014-11-18 00:12:21.057762+01
1416265975.65119,dbt3,7106,10,mark,psql,,-1,2014-11-18 00:12:54.51401+01,2014-11-18 00:12:54.517474+01,2014-11-18 00:12:54.517474+01,f,"
ALTER TABLE orders
ADD CONSTRAINT pk_orders PRIMARY KEY (o_orderkey) ;",active,2014-11-18 00:12:54.517484+01
1416265975.65119,dbt3,7107,10,mark,psql,,-1,2014-11-18 00:12:54.514237+01,2014-11-18 00:12:54.517729+01,2014-11-18 00:12:54.517729+01,t,"
CREATE INDEX orders_o_orderkey_o_orderdate_idx
ON orders (o_orderkey, o_orderdate);",active,2014-11-18 00:12:54.517739+01
1416265975.65119,dbt3,7108,10,mark,psql,,-1,2014-11-18 00:12:54.514848+01,2014-11-18 00:12:54.518001+01,2014-11-18 00:12:54.518001+01,t,"
CREATE INDEX orders_o_orderdate_o_orderkey_idx
ON orders (o_orderdate, o_orderkey);",active,2014-11-18 00:12:54.518011+01
1416265975.65119,dbt3,7115,10,mark,psql,,-1,2014-11-18 00:12:55.649462+01,2014-11-18 00:12:55.651217+01,2014-11-18 00:12:55.651217+01,f,"COPY (SELECT EXTRACT(EPOCH FROM TRANSACTION_TIMESTAMP()) AS ctime, a.schemaname, a.relname, seq_scan, seq_tup_read, idx_scan, idx_tup_fetch, n_tup_ins, n_tup_upd, n_tup_del, n_tup_hot_upd, n_live_tup, n_dead_tup, heap_blks_read, heap_blks_hit, idx_blks_read, idx_blks_hit, toast_blks_read, toast_blks_hit, tidx_blks_read, tidx_blks_hit FROM pg_statio_all_tables a, pg_stat_all_tables b WHERE a.relid = b.relid) TO STDOUT (FORMAT CSV);",active,2014-11-18 00:12:55.651222+01
1416265975.65119,dbt3,7116,10,mark,psql,,-1,2014-11-18 00:12:55.649572+01,2014-11-18 00:12:55.651192+01,2014-11-18 00:12:55.651192+01,f,"COPY (SELECT EXTRACT(EPOCH FROM TRANSACTION_TIMESTAMP()) AS ctime, datname, pid, usesysid, usename, application_name, client_addr, client_port, backend_start, xact_start, query_start, waiting, query , state, state_change FROM pg_stat_activity) TO STDOUT (FORMAT CSV);",active,2014-11-18 00:12:55.651197+01
1416265975.65119,dbt3,7033,10,mark,psql,,-1,2014-11-18 00:11:55.64588+01,2014-11-18 00:11:55.647526+01,2014-11-18 00:11:55.647526+01,f,COPY lineitem FROM '/AXLE/mark/dbt3/dss/lineitem.tbl' USING DELIMITERS '|';,active,2014-11-18 00:11:55.64753+01
1416265975.65119,dbt3,7117,10,mark,psql,,-1,2014-11-18 00:12:55.650614+01,2014-11-18 00:12:55.652401+01,2014-11-18 00:12:55.652401+01,f,"COPY (SELECT EXTRACT(EPOCH FROM TRANSACTION_TIMESTAMP()) AS ctime, a.schemaname, a.relname, a.indexrelname, idx_scan, idx_tup_read, idx_tup_fetch, idx_blks_read, idx_blks_hit FROM pg_stat_all_indexes a, pg_statio_all_indexes b WHERE a.indexrelid = b.indexrelid) TO STDOUT (FORMAT CSV);",active,2014-11-18 00:12:55.652405+01
