ctime,relname,pid,mode,granted
1416265915.64863,customer,7028,ExclusiveLock,t
1416265915.64863,customer,7028,RowExclusiveLock,t
1416265915.64863,lineitem,7033,RowExclusiveLock,t
1416265915.64863,nation,7035,RowExclusiveLock,t
1416265915.64863,orders,7027,RowExclusiveLock,t
1416265915.64863,part,7026,RowExclusiveLock,t
1416265915.64863,partsupp,7025,RowExclusiveLock,t
1416265915.64863,pg_locks,7039,AccessShareLock,t
1416265915.64863,pg_stat_activity,7038,AccessShareLock,t
1416265915.64863,pg_stat_database,7041,AccessShareLock,t
1416265915.64863,pg_statio_all_tables,7040,AccessShareLock,t
1416265915.64863,supplier,7024,RowExclusiveLock,t
1416265941.05768,lineitem,7033,RowExclusiveLock,t
1416265941.05768,lineitem,7033,ExclusiveLock,t
1416265941.05768,orders,7027,RowExclusiveLock,t
1416265941.05768,part,7083,ShareUpdateExclusiveLock,t
1416265941.05768,part_p_container_p_brand_p_partkey_idx,7083,AccessShareLock,t
1416265941.05768,part_p_name_idx,7083,AccessShareLock,t
1416265941.05768,part_p_size_idx,7083,AccessShareLock,t
1416265941.05768,part_p_type_p_partkey_idx,7083,AccessShareLock,t
1416265941.05768,partsupp,7025,ExclusiveLock,t
1416265941.05768,partsupp,7025,RowExclusiveLock,t
1416265941.05768,pg_locks,7091,AccessShareLock,t
1416265941.05768,pg_stat_activity,7092,AccessShareLock,t
1416265941.05768,pg_stat_all_indexes,7094,AccessShareLock,t
1416265941.05768,pg_stat_all_tables,7093,AccessShareLock,t
1416265941.05768,pg_stat_database,7090,AccessShareLock,t
1416265941.05768,pg_statio_all_indexes,7094,AccessShareLock,t
1416265941.05768,pg_statio_all_tables,7093,AccessShareLock,t
1416265941.05768,pk_part,7083,AccessShareLock,t
1416265975.65227,lineitem,7033,RowExclusiveLock,t
1416265975.65227,orders,7106,AccessExclusiveLock,t
1416265975.65227,orders,7106,ShareLock,t
1416265975.65227,orders,7107,ShareLock,f
1416265975.65227,orders,7108,ShareLock,f
1416265975.65227,pg_locks,7118,AccessShareLock,t
1416265975.65227,pg_stat_all_indexes,7117,AccessShareLock,t
1416265975.65227,pg_stat_all_tables,7115,AccessShareLock,t
1416265975.65227,pg_stat_database,7119,AccessShareLock,t
1416265975.65227,pg_statio_all_indexes,7117,AccessShareLock,t
1416265975.65227,pg_statio_all_tables,7115,AccessShareLock,t
1416266001.0599,lineitem,7033,RowExclusiveLock,t
1416266001.0599,orders,7108,ShareLock,t
1416266001.0599,pg_locks,7130,AccessShareLock,t
1416266001.0599,pg_stat_activity,7126,AccessShareLock,t
1416266001.0599,pg_stat_all_indexes,7129,AccessShareLock,t
1416266001.0599,pg_stat_all_tables,7127,AccessShareLock,t
1416266001.0599,pg_stat_database,7128,AccessShareLock,t
1416266001.0599,pg_statio_all_indexes,7129,AccessShareLock,t
1416266001.0599,pg_statio_all_tables,7127,AccessShareLock,t
1416266035.6562,lineitem,7033,RowExclusiveLock,t
1416266035.6562,pg_locks,7143,AccessShareLock,t
1416266035.6562,pg_stat_all_indexes,7145,AccessShareLock,t
1416266035.6562,pg_stat_all_tables,7141,AccessShareLock,t
1416266035.6562,pg_statio_all_indexes,7145,AccessShareLock,t
1416266035.6562,pg_statio_all_tables,7141,AccessShareLock,t
1416266061.06485,lineitem,7033,RowExclusiveLock,t
1416266061.06485,pg_locks,7154,AccessShareLock,t
1416266061.06485,pg_stat_activity,7155,AccessShareLock,t
1416266061.06485,pg_stat_all_indexes,7156,AccessShareLock,t
1416266061.06485,pg_stat_all_tables,7152,AccessShareLock,t
1416266061.06485,pg_stat_database,7153,AccessShareLock,t
1416266061.06485,pg_statio_all_indexes,7156,AccessShareLock,t
1416266061.06485,pg_statio_all_tables,7152,AccessShareLock,t
1416266095.65849,lineitem,7033,ExclusiveLock,t
1416266095.65849,lineitem,7033,RowExclusiveLock,t
1416266095.65849,pg_locks,7167,AccessShareLock,t
1416266095.65849,pg_stat_activity,7168,AccessShareLock,t
1416266095.65849,pg_stat_all_indexes,7166,AccessShareLock,t
1416266095.65849,pg_stat_all_tables,7169,AccessShareLock,t
1416266095.65849,pg_stat_database,7165,AccessShareLock,t
1416266095.65849,pg_statio_all_indexes,7166,AccessShareLock,t
1416266095.65849,pg_statio_all_tables,7169,AccessShareLock,t
1416266121.06489,lineitem,7033,ExclusiveLock,t
1416266121.06489,lineitem,7033,RowExclusiveLock,t
1416266121.06489,pg_locks,7198,AccessShareLock,t
1416266121.06489,pg_stat_database,7197,AccessShareLock,t
1416266121.06489,pg_statio_all_tables,7196,AccessShareLock,t
1416266155.65948,lineitem,7033,RowExclusiveLock,t
1416266155.65948,pg_locks,7211,AccessShareLock,t
1416266155.65948,pg_stat_all_indexes,7209,AccessShareLock,t
1416266155.65948,pg_stat_database,7210,AccessShareLock,t
1416266155.65948,pg_statio_all_indexes,7209,AccessShareLock,t
1416266181.06884,lineitem,7033,RowExclusiveLock,t
1416266181.06884,pg_locks,7223,AccessShareLock,t
1416266181.06884,pg_stat_activity,7222,AccessShareLock,t
1416266181.06884,pg_stat_all_indexes,7221,AccessShareLock,t
1416266181.06884,pg_stat_all_tables,7224,AccessShareLock,t
1416266181.06884,pg_stat_database,7220,AccessShareLock,t
1416266181.06884,pg_statio_all_indexes,7221,AccessShareLock,t
1416266181.06884,pg_statio_all_tables,7224,AccessShareLock,t
1416266215.66131,lineitem,7033,RowExclusiveLock,t
1416266215.66131,pg_locks,7233,AccessShareLock,t
1416266215.66131,pg_stat_activity,7234,AccessShareLock,t
1416266215.66131,pg_stat_database,7235,AccessShareLock,t
1416266241.07225,lineitem,7249,ShareLock,f
1416266241.07225,lineitem,7253,ShareLock,f
1416266241.07225,lineitem,7250,ShareLock,f
1416266241.07225,lineitem,7246,AccessExclusiveLock,t
1416266241.07225,lineitem,7246,ShareLock,t
1416266241.07225,lineitem,7247,ShareLock,f
1416266241.07225,lineitem,7248,ShareLock,f
1416266241.07225,lineitem,7251,ShareLock,f
1416266241.07225,lineitem,7252,ShareLock,f
1416266241.07225,pg_locks,7263,AccessShareLock,t
1416266241.07225,pg_stat_all_indexes,7261,AccessShareLock,t
1416266241.07225,pg_stat_all_tables,7262,AccessShareLock,t
1416266241.07225,pg_stat_database,7264,AccessShareLock,t
1416266241.07225,pg_statio_all_indexes,7261,AccessShareLock,t
1416266241.07225,pg_statio_all_tables,7262,AccessShareLock,t
1416266275.66738,lineitem,7249,ShareLock,f
1416266275.66738,lineitem,7253,ShareLock,f
1416266275.66738,lineitem,7250,ShareLock,f
1416266275.66738,lineitem,7246,AccessExclusiveLock,t
1416266275.66738,lineitem,7246,ShareLock,t
1416266275.66738,lineitem,7247,ShareLock,f
1416266275.66738,lineitem,7248,ShareLock,f
1416266275.66738,lineitem,7251,ShareLock,f
1416266275.66738,lineitem,7252,ShareLock,f
1416266275.66738,pg_locks,7275,AccessShareLock,t
1416266275.66738,pg_stat_all_indexes,7277,AccessShareLock,t
1416266275.66738,pg_stat_all_tables,7274,AccessShareLock,t
1416266275.66738,pg_stat_database,7276,AccessShareLock,t
1416266275.66738,pg_statio_all_indexes,7277,AccessShareLock,t
1416266275.66738,pg_statio_all_tables,7274,AccessShareLock,t
1416266301.07376,lineitem,7249,ShareLock,f
1416266301.07376,lineitem,7246,ShareLock,t
1416266301.07376,lineitem,7247,ShareLock,f
1416266301.07376,lineitem,7248,ShareLock,f
1416266301.07376,lineitem,7251,ShareLock,f
1416266301.07376,lineitem,7252,ShareLock,f
1416266301.07376,lineitem,7253,ShareLock,f
1416266301.07376,lineitem,7250,ShareLock,f
1416266301.07376,lineitem,7246,AccessExclusiveLock,t
1416266301.07376,pg_locks,7287,AccessShareLock,t
1416266301.07376,pg_stat_all_tables,7284,AccessShareLock,t
1416266301.07376,pg_statio_all_tables,7284,AccessShareLock,t
1416266335.67006,lineitem,7249,ShareLock,f
1416266335.67006,lineitem,7252,ShareLock,f
1416266335.67006,lineitem,7253,ShareLock,f
1416266335.67006,lineitem,7250,ShareLock,f
1416266335.67006,lineitem,7246,AccessExclusiveLock,t
1416266335.67006,lineitem,7246,ShareLock,t
1416266335.67006,lineitem,7247,ShareLock,f
1416266335.67006,lineitem,7248,ShareLock,f
1416266335.67006,lineitem,7251,ShareLock,f
1416266335.67006,pg_locks,7299,AccessShareLock,t
1416266335.67006,pg_stat_activity,7300,AccessShareLock,t
1416266335.67006,pg_stat_all_indexes,7297,AccessShareLock,t
1416266335.67006,pg_stat_all_tables,7301,AccessShareLock,t
1416266335.67006,pg_stat_database,7298,AccessShareLock,t
1416266335.67006,pg_statio_all_indexes,7297,AccessShareLock,t
1416266335.67006,pg_statio_all_tables,7301,AccessShareLock,t
1416266361.07457,lineitem,7249,ShareLock,t
1416266361.07457,lineitem,7251,ShareLock,t
1416266361.07457,lineitem,7252,ShareLock,t
1416266361.07457,lineitem,7253,ShareLock,t
1416266361.07457,lineitem,7250,ShareLock,t
1416266361.07457,lineitem,7247,ShareLock,t
1416266361.07457,lineitem,7248,ShareLock,t
1416266361.07457,pg_locks,7308,AccessShareLock,t
1416266361.07457,pg_stat_activity,7310,AccessShareLock,t
1416266361.07457,pg_stat_all_indexes,7312,AccessShareLock,t
1416266361.07457,pg_stat_all_tables,7311,AccessShareLock,t
1416266361.07457,pg_stat_database,7309,AccessShareLock,t
1416266361.07457,pg_statio_all_indexes,7312,AccessShareLock,t
1416266361.07457,pg_statio_all_tables,7311,AccessShareLock,t
