ctime,datname,numbackends,xact_commit,xact_rollback,blks_read,blks_hit,tup_returned,tup_fetched,tup_inserted,tup_updated,tup_deleted
1416267394.0131,template1,0,0,0,0,0,0,0,0,0,0
1416267394.0131,template0,0,0,0,0,0,0,0,0,0,0
1416267394.0131,postgres,0,6017,21,52649,171328,1999906,67037,0,0,0
1416267394.0131,dbt3,12,77529,39,5659587397,4910769216,138529184601,62124559491,1574487163,8577,12394124
1416267454.01653,template1,0,0,0,0,0,0,0,0,0,0
1416267454.01653,template0,0,0,0,0,0,0,0,0,0,0
1416267454.01653,postgres,0,6019,21,52675,171357,2000568,67048,0,0,0
1416267454.01653,dbt3,16,78249,39,5664398100,4922962979,138890201200,62182597622,1574577717,8667,12469409
1416267514.01895,template1,0,0,0,0,0,0,0,0,0,0
1416267514.01895,template0,0,0,0,0,0,0,0,0,0,0
1416267514.01895,postgres,0,6021,21,52701,171386,2001230,67059,0,0,0
1416267514.01895,dbt3,17,78421,39,5677873915,4962946230,139901784515,62273703815,1574667634,8695,12544200
1416267574.02015,template1,0,0,0,0,0,0,0,0,0,0
1416267574.02015,template0,0,0,0,0,0,0,0,0,0,0
1416267574.02015,postgres,0,6023,21,52727,171415,2001892,67070,0,0,0
1416267574.02015,dbt3,18,78627,39,5689663952,5001730131,140601250358,62440282321,1574757349,8729,12618757
1416267634.02478,template1,0,0,0,0,0,0,0,0,0,0
1416267634.02478,template0,0,0,0,0,0,0,0,0,0,0
1416267634.02478,postgres,0,6025,21,52753,171444,2002554,67081,0,0,0
1416267634.02478,dbt3,18,78783,39,5700931487,5055331124,141427661219,62547002764,1574922364,8752,12693705
1416267694.02328,template1,0,0,0,0,0,0,0,0,0,0
1416267694.02328,template0,0,0,0,0,0,0,0,0,0,0
1416267694.02328,postgres,0,6027,21,52779,171473,2003216,67092,0,0,0
1416267694.02328,dbt3,18,78949,39,5712035850,5130674102,142307728521,62698218120,1575012030,8786,12768864
1416267754.02527,template1,0,0,0,0,0,0,0,0,0,0
1416267754.02527,template0,0,0,0,0,0,0,0,0,0,0
1416267754.02527,postgres,0,6029,21,52805,171502,2003878,67103,0,0,0
1416267754.02527,dbt3,18,79140,39,5720724588,5149919801,142945923283,62835108126,1575101848,8815,12844300
1416267814.02862,template1,0,0,0,0,0,0,0,0,0,0
1416267814.02862,template0,0,0,0,0,0,0,0,0,0,0
1416267814.02862,postgres,0,6031,21,52831,171531,2004540,67114,0,0,0
1416267814.02862,dbt3,18,79299,39,5730174987,5232112622,143709679094,63027897602,1575191472,8862,12919484
1416267874.02988,template1,0,0,0,0,0,0,0,0,0,0
1416267874.02988,template0,0,0,0,0,0,0,0,0,0,0
1416267874.02988,postgres,0,6033,21,52857,171560,2005202,67125,0,0,0
1416267874.02988,dbt3,17,79467,39,5741624862,5311815154,144491849986,63177113701,1575281770,8886,12994664
1416267934.0339,template1,0,0,0,0,0,0,0,0,0,0
1416267934.0339,template0,0,0,0,0,0,0,0,0,0,0
1416267934.0339,postgres,0,6035,21,52883,171589,2005864,67136,0,0,0
1416267934.0339,dbt3,17,79625,39,5750919828,5332595632,145159909850,63259786593,1575372315,8912,13069491
1416267994.03911,template1,0,0,0,0,0,0,0,0,0,0
1416267994.03911,template0,0,0,0,0,0,0,0,0,0,0
1416267994.03911,postgres,0,6037,21,52909,171618,2006526,67147,0,0,0
1416267994.03911,dbt3,18,79766,39,5759520115,5437729106,145802751234,63384026679,1575462522,8931,13144557
1416268054.04199,template1,0,0,0,0,0,0,0,0,0,0
1416268054.04199,template0,0,0,0,0,0,0,0,0,0,0
1416268054.04199,postgres,0,6039,21,52935,171647,2007188,67158,0,0,0
1416268054.04199,dbt3,18,79965,39,5772874368,5495706880,146712506660,63463255437,1575553016,8963,13219719
1416268114.04213,template1,0,0,0,0,0,0,0,0,0,0
1416268114.04213,template0,0,0,0,0,0,0,0,0,0,0
1416268114.04213,postgres,0,6041,21,52961,171676,2007850,67169,0,0,0
1416268114.04213,dbt3,16,80120,39,5781801091,5535980943,147231700536,63599462375,1575568073,9018,13294515
